epoch,lr,loss,iou,val_loss,val_iou
0.0,0.0003,0.8928207535142741,0.27490714497261737,0.696347576429036,0.33877701582893066
1.0,0.0003,0.6439722638977461,0.35174771823536877,0.6360007337302216,0.37056066668585425
2.0,0.0003,0.6005463374794022,0.3822542578124122,0.5891726549006691,0.3960188228903352
3.0,0.0003,0.5773451868290743,0.4092670723732185,0.5829840416258032,0.4130508761180261
4.0,0.0003,0.5675302656228878,0.42146430626463427,0.5656519054381315,0.4411841449367873
5.0,0.0003,0.552235139376861,0.43920585029008874,0.5569644915170906,0.43918219471124276
6.0,0.0003,0.5426100465876997,0.45078217360933703,0.5439329607427613,0.44276661755409313
7.0,0.0003,0.5320279371763064,0.46273721318790884,0.5244023816644653,0.4800912858817892
8.0,0.0003,0.5221573344932114,0.4792604676915942,0.5165663488640273,0.49612587505958144
9.0,0.0003,0.5146266340716811,0.4881776943564296,0.5288881279712866,0.4837865921220475
10.0,0.0003,0.5047547618219675,0.500868804546879,0.5064723260639128,0.503976728201894
11.0,0.0003,0.49981715952561906,0.5077197138309677,0.5473627357443502,0.47334754209146773
12.0,0.0003,0.4879228753368717,0.5236538396213233,0.49408577966295986,0.5379682985921199
13.0,0.0003,0.4812586065412553,0.5355889215229537,0.4861708311009998,0.5429292344746707
14.0,0.0003,0.47250312475626133,0.5467050296359707,0.49789541334160103,0.514151204945115
15.0,0.0003,0.4674698265254005,0.5524155802664216,0.48092280660779024,0.5455402599106974
16.0,0.0003,0.457822764757251,0.5666750483982346,0.4631629799515748,0.5647459492023879
17.0,0.0003,0.4525178911272159,0.571799960687943,0.4747861300125595,0.5585343543445646
18.0,0.0003,0.4462060470595833,0.5815747079774173,0.4656344823600832,0.5660485139885754
19.0,0.0003,0.44037973430038485,0.5915614751685131,0.4742842695437187,0.5603136759605296
20.0,0.0003,0.4332851879729712,0.5989479687346051,0.4462729356505654,0.5908381575598258
21.0,0.0003,0.43116674449079295,0.5999952488847512,0.45400966878764887,0.5736826597706746
22.0,0.0003,0.42615871543972944,0.6072204753530316,0.4474566496600789,0.5949629139590386
23.0,0.0003,0.4197262898580102,0.61779681149865,0.44590133778319874,0.5883883871805045
24.0,0.0003,0.41799913950202877,0.6172983698016107,0.43259518107106865,0.6157998811488307
25.0,0.0003,0.40848251525774476,0.6332855807120772,0.4357543621674057,0.6066297783226526
26.0,0.0003,0.4085297240452333,0.6301138250664681,0.43331664303117545,0.6118083982442062
27.0,0.0003,0.4030087766691673,0.6404142626421381,0.42681053261126367,0.6178756002498735
28.0,0.0003,0.3946978502037111,0.6495336449486078,0.43734716748403124,0.603104691657887
29.0,0.0003,0.40026854754479463,0.643929039109197,0.423230323958988,0.6267740523194025
30.0,0.0003,0.3909457855111311,0.6542102488775213,0.4182684731384939,0.63167318899483
31.0,0.0003,0.38483625128249493,0.6605631664339339,0.4163029914059915,0.6416577651162876
32.0,0.0003,0.3820238460440281,0.6650553790687843,0.4093047941519209,0.6430041155697465
33.0,0.0003,0.3779053969816728,0.6693481265787118,0.4140664944964007,0.6440943595573777
34.0,0.0003,0.3772808565827441,0.6704255587493475,0.40834462948081907,0.6458505641175322
35.0,0.0003,0.3705286411583916,0.67776021067682,0.4087186771483461,0.6450366720256356
36.0,0.0003,0.3692644992335276,0.6778765085901339,0.39374388259304455,0.6652872432068899
37.0,0.0003,0.3629734726545732,0.6851162755515741,0.3947793870425421,0.6655882589471199
38.0,0.0003,0.36018500970291695,0.6891810636745206,0.3982762339686559,0.6650188083950619
39.0,0.0003,0.3614333551284695,0.6870516065980894,0.4108832081979957,0.6441279687234762
40.0,0.0003,0.35763190280923174,0.6896390117038806,0.40765426316537146,0.6599061229659303
41.0,0.0003,0.34934289399380525,0.7007041941357862,0.38916848947194,0.6784051212659671
42.0,0.0003,0.3489670800337614,0.7000108530561804,0.386639605277826,0.6780750207496969
